date,group,name,price,
,Price,500,,
2026-08-17,salat,Салат овощной,,0
2026-08-17,salat,Фунчоза с курицей и овощами,0,
2026-08-17,soup,Лапша куриная,0,
2026-08-17,soup,Фасолевый с говядиной,0,
2026-08-17,main,Котлета рыбная,0,
2026-08-17,main,Чикен-строганов,0,
2026-08-17,side,Рис с овощами,0,
2026-08-17,side,Паста отварная,0,
2026-08-18,salat,Битые огурцы,0,
2026-08-18,salat,Салат с хрустящими баклажанами и сыром фета,0,
2026-08-18,soup,Лапша куриная,0,
2026-08-18,soup,Суп картофельный с грибами,0,
2026-08-18,main,Котлета домашняя,0,
2026-08-18,main,Шашлык из курицы,0,
2026-08-18,side,Паста отварная,0,
2026-08-18,side,Гречка с грибами,0,
2026-08-19,salat,Морковь по-корейски,0,
2026-08-19,salat,Салат шеф,0,
2026-08-19,soup,Лапша куриная,0,
2026-08-19,soup,Борщ с курицей,0,
2026-08-19,main,Купаты куриные,0,
2026-08-19,main,Тефтели куриные,0,
2026-08-19,side,Картофель гриль,0,
2026-08-19,side,Овощи на тепане,0,
2026-08-20,salat,Салат с рыбой горячего копчения,0,
2026-08-20,salat,Коул-слоу,0,
2026-08-20,soup,Лапша куриная,0,
2026-08-20,soup,Суп рыбный с пшеном,0,
2026-08-20,main,Рыба в кляре,0,
2026-08-20,main,Куриный шницель,0,
2026-08-20,side,Булгур с овощами,0,
2026-08-20,side,Запеченный мини картофель,0,
2026-08-21,salat,Салат цезарь с курицей,0,
2026-08-21,salat,Салат из свеклы с сыром фета,0,
2026-08-21,soup,Лапша куриная,0,
2026-08-21,soup,Гороховый крем-суп с копченостями,0,
2026-08-21,main,Бифштекс с яйцом,0,
2026-08-21,main,Чахохбили из курицы,0,
2026-08-21,side,Рис на пару,0,
2026-08-21,side,Картофель отварной,0,
