tab,section,type,name,name2,vol,price,desc,cal,prot,fat,carb
Основное,Завтраки,dish,Каша рисовая,,300 г,54,"Рис, молоко, голубика, сублимированная малина",230,9,9,28
Основное,Завтраки,dish,Каша овсяная,,300 г,54,"Хлопья овсяные, молоко, голубика, сублимированная малина",280,"9,5",14,31
Основное,Завтраки,dish,Каша многозлаковая,,300 г,54,"Хлопья многоплановые, молоко, голубика, сублимированная малина",400,16,21,37
Основное,Завтраки,dish,Омлет,,250 г,149,С миксом салата и черри,390,21,23,24
Основное,Завтраки,dish,Скрэмбл,,250 г,149,С миксом салата и черри,440,22,30,23
Основное,Завтраки,dish,Яичница из 3-х яиц,,220 г,149,С миксом салата и черри,390,22,24,22
Основное,Завтраки,dish,Тост с форелью с/с,и яйцом пашот,230 г,346,"Тост ржаной, соус гуакамоле (авокадо, сок лимона, перец чили), руккола, яйцо пашот, форель с/с, голландский соус (желтки яичные, сок лимона, сливочное масло)",570,14,46,26
Основное,Завтраки,dish,Сырники со сметаной,,150 г,137,"Творог, мука, разрыхлитель, яйцо",450,36,24,22
Основное,Завтраки,dish,Сэндвич,с куриным пастрами,215 г,149,"Тостовый хлеб, масло сливочное, помидоры, салат айсберг, соус цезарь, куриное пастрами, сыр пармезан",420,18,28,24
Основное,Добавки к завтракам,pill,Бекон говяжий,,,63,,,,,
Основное,Добавки к завтракам,pill,Бекон свиной,,,24,,,,,
Основное,Добавки к завтракам,pill,Охотничья колбаска,,,31,,,,,
Основное,Добавки к завтракам,pill,Куриное пастрами,,,24,,,,,
Основное,Добавки к завтракам,pill,Перец сладкий,,,33,,,,,
Основное,Добавки к завтракам,pill,Помидоры,,,27,,,,,
Основное,Добавки к завтракам,pill,Помидоры черри,,,62,,,,,
Основное,Добавки к завтракам,pill,Рваная говядина,,,107,,,,,
Основное,Добавки к завтракам,pill,Микс салата,,,22,,,,,
Основное,Добавки к завтракам,pill,Свежий огурец,,,20,,,,,
Основное,Добавки к завтракам,pill,Сыр пармезан,,,28,,,,,
Основное,Добавки к завтракам,pill,Сыр моцарелла,,,59,,,,,
Основное,Добавки к завтракам,pill,Тостовый хлеб,,,12,,,,,
Основное,Добавки к завтракам,pill,Форель с/с,,,97,,,,,
Основное,Салаты,dish,Салат с рукколой,и креветками,200 г,490,"Руккола, авокадо, креветки с тимьяном и чесноком, помидоры, пармезан, соус винегрет",320,"3,5",30,"7,5"
Основное,Салаты,dish,Салат катанезе,,200 г,472,"Баклажаны, перец болгарский, цукини, маслины таджасские, оливки каламата, базилик, орехи кедровые, бальзамический крем, масло оливковое",330,"2,5",31,12
Основное,Салаты,dish,Салат с курицей терияки,и овощами,200 г,232,"Куриное бедро, помидоры, микс салата, кинза, лук фри, авокадо, соус терияки, майонез, сыр пармезан, чипсы из тортильи",370,18,28,10
Основное,Салаты,dish,Салат фермерский,,340 г,371,"Помидоры, огурцы, листья романо",320,3,31,"9,5"
Основное,Супы,dish,Лапша куриная,с перепелиным яйцом,300 г,34,"Куриный бульон, вермишель, курица, петрушка",100,"8,5","3,5",10
Основное,Супы,dish,Суп Минестроне,,300 г,209,"Фасоль белая, цуккини, баклажан, болгарский перец, морковь, свежие брокколи, овощной бульон, соус песто, базилик",180,"4,5",9,19
Основное,Супы,dish,Томатный суп,с крутонами из чиабатты,270 г,188,"Сельдерей, лук, морковь, томаты в собственном соку, тимьян, чеснок",150,2,"4,5",25
Основное,Мясо & Рыба,dish,Курица отварная,,120 г,88,"Филе куриное, соль, белый перец",390,50,19,"4,5"
Основное,Мясо & Рыба,dish,Стейк Рибай,,210 г,2180,"Говядина (рибай), соль, перец, сливочное масло, розмарин, тимьян",430,34,31,4
Основное,Мясо & Рыба,dish,Стейк Денвер,в специях чурасско,180 г,1373,"Альтернативный говяжий стейк (лопаточная часть), чёрный перец, кориандр, паприка, копчёная паприка, острый чили",720,31,48,42
Основное,Мясо & Рыба,dish,Стейк лосося,с соусом бер блан,250 г,1004,"Филе лосося на коже, соус бер блан (лук шалот, тимьян, чеснок, белое вино, сливки, свежемолотый перец, сливочное масло)",490,13,48,"2,5"
Основное,Мясо & Рыба,dish,Копчёное ребро,говяжье,450 г,3018,"Соль, перец, копчение на ольховой щепе 20 часов",1990,81,179,12
Основное,Мясо & Рыба,dish,Белорыбица,с варёным картофелем,,732,"Филе белорыбицы, мука, картофель отварной, огурцы свежие, земля из маслин, соус тар-тар",630,26,40,42
Основное,Мясо & Рыба,dish,Брискет,,180 г,494,"Соль, перец, копчение на ольховой щепе 20 часов",440,64,15,12
Основное,Гарниры,dish,Рис басмати,,150 г,24,Рис басмати на пару,300,"4,5",7,54
Основное,Гарниры,dish,Рис пряный,,150 г,30,"Рис, куркума",300,"4,5",7,54
Основное,Гарниры,dish,Рис с овощами,,150 г,47,"Рис, куркума, баклажан, цуккини",220,4,2,46
Основное,Гарниры,dish,Пюре картофельное,,150 г,28,"Картофель, сливочное масло, сливки",130,"3,5",3,23
Основное,Гарниры,dish,Овощи гриль,с грибами,160 г,135,"Кабачок, баклажан, шампиньоны, перец болгарский",120,"3,5","7,5","8,5"
Основное,Гарниры,dish,Мини картофель,запечённый,150 г,27,"Картофель мини, прованские травы",180,"3,5",6,29
Основное,Стрит-фуд,dish,Картофель фри,,120 г,65,Картофель фри,150,"3,5","0,5",33
Основное,Стрит-фуд,dish,Картофель фри,с пармезаном и трюфельным маслом,135 г,89,"Картофель фри, трюфельное масло, пармезан",150,"3,5","0,5",33
Основное,Стрит-фуд,dish,Батат фри,с соусом блю чиз,120 г,162,"Батат, соус блю чиз",210,"8,5","6,5",29
Основное,Стрит-фуд,dish,Бургер,с говяжьей котлетой,325 г,322,"Говяжий бекон, котлета из говядины, сыр чеддер, огурцы маринованные, помидор, айсберг, лук фри, булочки пшеничные, соус для бургера",680,41,37,48
Основное,Стрит-фуд,dish,Шаурма,с курицей,380 г,210,"Маринованное куриное бедро (кориандр, зира), огурцы, помидоры, соус белый BBQ",720,39,40,50
Основное,Стрит-фуд,dish,Чимичанга,с говядиной,265 г,200,"Рваная говядина, помидоры, маринованные огурцы, чеснок сушеный, оливковое масло, соус чипотле-майонез",420,24,27,21
Напитки,Кофе,dish,Эспрессо,,30 мл,25,,,,,
Напитки,Кофе,dish,Двойной эспрессо,,60 мл,49,,,,,
Напитки,Кофе,dish,Американо,,200 мл,49,,,,,
Напитки,Кофе,dish,Капучино,,250 мл,53 / 111,,,,,
Напитки,Кофе,dish,Капучино,,350 мл,90 / 183,,,,,
Напитки,Кофе,dish,Латте,,350 мл,90 / 183,,,,,
Напитки,Кофе,dish,Флэт Уайт,,250 мл,53 / 135,,,,,
Напитки,Кофе,dish,Бамбл,,350 мл,135,,,,,
Напитки,Кофе,dish,Раф классический,,350 мл,186,,,,,
Напитки,Кофе,dish,Раф фисташковый,,350 мл,265,,,,,
Напитки,Кофе,dish,Раф халва,,350 мл,188,,,,,
Напитки,Кофе,dish,Какао с маршмелоу,,350 мл,58 / 151,,,,,
Напитки,Чай,dish,Ассам,,500 мл,18,,,,,
Напитки,Чай,dish,Эрл Грей,,500 мл,29,,,,,
Напитки,Чай,dish,Сенча,,500 мл,16,,,,,
Напитки,Чай,dish,Жасмин,,500 мл,45,,,,,
Напитки,Чай,dish,Тегуаньинь,,500 мл,51,,,,,
Напитки,Чай,dish,Травяной,,500 мл,35,,,,,
Напитки,Чай,dish,Саган Дайля Мята,,500 мл,109,,,,,
Напитки,Чай,dish,Пуэр,,500 мл,36,,,,,
Напитки,Чай,dish,Молочный улун,,500 мл,24,,,,,
Напитки,Чай,dish,Имбирный,,500 мл,69,,,,,
Напитки,Чай,dish,Марокканский,,500 мл,53,,,,,
Напитки,Чай,dish,Манго-маракуйя,,500 мл,169,,,,,
Напитки,Чай,dish,Гранат-малина,,500 мл,33,,,,,
Напитки,Чай,dish,Облепиха-груша,,500 мл,27,,,,,
Напитки,Чай,dish,Малина-клюква,,500 мл,194,,,,,
Напитки,Добавки к напиткам,pill,Лимон,,,13,,,,,
Напитки,Добавки к напиткам,pill,Имбирь,,,10,,,,,
Напитки,Добавки к напиткам,pill,Лайм,,,8,,,,,
Напитки,Добавки к напиткам,pill,Маршмелоу,,,33,,,,,
Напитки,Добавки к напиткам,pill,Мёд,,,8,,,,,
Напитки,Добавки к напиткам,pill,Мята,,,19,,,,,
Напитки,Добавки к напиткам,pill,Сироп,,,11,,,,,
Напитки,Добавки к напиткам,pill,Халва,,,19,,,,,
Напитки,Добавки к напиткам,pill,Чабрец,,,35,,,,,
Напитки,Холодный чай,dish,Маракуйя-баблгам,,300 мл,174,,,,,
Напитки,Холодный чай,dish,Малина-клубника,,300 мл,154,,,,,
Напитки,Лимонады,dish,Миндальное яблоко,,350/1000,159 / 347,,,,,
Напитки,Лимонады,dish,Гранат-малина,,350/1000,147 / 333,,,,,
Напитки,Лимонады,dish,Каламанси-арбуз,,350/1000,122 / 253,,,,,
Напитки,Лимонады,dish,Малина-маракуйя,,350/1000,188 / 437,,,,,
Напитки,Лимонады,dish,Манго-маракуйя,,350/1000,185 / 419,,,,,
Напитки,Лимонады,dish,Мохито классический,,350/1000,54 / 125,,,,,
Напитки,Лимонады,dish,Мохито клубничный,,350/1000,110 / 237,,,,,
Напитки,Лимонады,dish,Цитрусовый,,350/1000,70 / 126,,,,,
Напитки,Лимонады,dish,Морс ягодный,,350/1000,48 / 142,,,,,
Напитки,Лимонады,dish,Доктор Пеппер,,350 мл,62,,,,,
Напитки,Лимонады,dish,Пина колада,,350 мл,166,,,,,
