name,sostav,cal,prot,fat,carb
Азу из птицы,"Куриное филе, маринованные огурцы, лук, томатная паста, куриный бульон, мука, сливочное масло, растительное масло, чеснок, лавровый лист, чёрный перец, соль",,,,
Американо,,,,,
Андалузский,"Пастрами куриное, салат айсберг, помидоры, перец, чипсы из тортильи с паприкой, петрушка, укроп, соус андалузский (майонез, карри, соевый соус)",200,10,16,5
Ассам,,,,,
Бамбл,,,,,
Батат фри с соусом блю чиз,"Батат, соус блю чиз",210,"8,5","6,5",29
Белорыбица с варёным картофелем,"Филе белорыбицы, мука, картофель отварной, огурцы свежие, земля из маслин, соус тар-тар",630,26,40,42
Бефстроганов,"Говядина, лук, шампиньоны, сливки, сметана",370,26,28,"1,5"
Бефстроганов из говядины с грибами,"Говядина, лук, шампиньоны, сливки, сметана",370,26,28,"1,5"
Битые огурцы,"Огурец, кунжут, соевый соус, чили хлопья, сахар, чеснок, кунжутное масло",15,1,"0,1",3
Бифштекс с яйцом,"Говяжья котлета, яйцо куриное",290,26,21,"0,5"
Борщ с говядиной,"Говядина, капуста, морковь, лук, картофель, свекла, томатная паста, сахар, уксус столовый",230,11,12,20
Борщ с курицей,"Курица, капуста, морковь, лук, картофель, свекла, томатная паста, сахар, уксус столовый",212,7,15,16
Брискет,"Говяжья грудинка, соль, перец, копчение на ольховой щепе 20 часов",440,64,15,12
Брокколи на пару,"Капуста брокколи, соль",65,"3,5","1,5",9
Буйабес,"Лук, морковь, сельдерей, томатная паста, рыбный бульон, вино белое, креветки, форель, кальмар, треска, болгарский перец, цукини, картофель, помидоры черри, соус айоли (домашний майонез, куркума, чеснок), багет обжаренный на гриле",180,18,7,8
Булгур с овощами,"Булгур, куркума, болгарский перец, цуккини, баклажан, шампиньоны",200,"5,5",7,29
Булгур с овощами и грибами,"Булгур, куркума, болгарский перец, цуккини, баклажан, шампиньоны",200,"5,5",7,29
Бургер с говяжьей котлетой,"Говяжий бекон, котлета из говядины, сыр чеддер, огурцы маринованные, помидор, айсберг, лук фри, булочки пшеничные, соус для бургера",680,41,37,48
Вальдорф,"Пастрами куриное, салат айсберг, яблоко, сельдерей, медово-горчичный соус",,,,
Вальдорф с куриным пастрами,"Пастрами куриное, салат айсберг, яблоко, сельдерей, медово-горчичный соус",150,"7,5",10,6
Вальдорф с курицей,"Пастрами куриное, салат айсберг, яблоко, сельдерей, медово-горчичный соус",150,"7,5",10,6
Весенний,,120,"4,5",9,6
Винегрет,"Картофель, морковь, свекла, огурцы солёные, горошек зелёный, петрушка, масло растительное",150,"2,5","8,5",15
Гранат-малина,,,,,
Греческий,"Помидоры, огурцы, перец, маслины, сыр фета, оливковое масло, орегано",150,2,13,"5,5"
Греческий с фетой,"Помидоры, огурцы, перец, маслины, сыр фета, оливковое масло, орегано",150,2,13,"5,5"
Гречка на пару,"Гречневая крупа, растительное масло",230,8,12,24
Гречка с грибами,"Гречка, шампиньоны, лук, масло растительное",190,"8,5",9,20
